Tag,RSSI_dBm,Antenna,Time_ms
E2801170000002076A508C72,73,1,2349255
E2801170000002076A509D72,70,1,2349256
E2801170000002076A509D75,66,1,2349291
E2801170000002076A509D72,62,1,2349292
E2801170000002076A509D72,62,1,2349309
E2801170000002076A508C72,63,1,2349310
E2801170000002076A509D75,65,1,2349314
E2801170000002076A509D72,62,1,2349340
E2801170000002076A509D72,64,1,2349363
E2801170000002076A508C72,65,4,2350258
E2801170000002076A508C7F,60,4,2350326
E2801170000002076A508C72,62,4,2350326
E2801170000002076A508C7F,62,4,2350327
E2801170000002076A508C7F,61,4,2350328
E2801170000002076A508C72,68,4,2350335
E2801170000002076A508C7F,65,4,2350336
E2801170000002076A508C72,68,1,2350479
E2801170000002076A508C7F,67,1,2350480
E2801170000002076A508C7F,67,1,2350494
E2801170000002076A508C7F,77,4,2351392
E2801170000002076A508C7F,77,4,2351464
E2801170000002076A508C7F,77,4,2351465
E2801170000002076A508C7F,71,4,2351466
E2801170000002076A508C7F,67,4,2351500
E2801170000002076A508C7F,70,4,2351518
E2801170000002076A508C7F,77,4,2351554
E2801170000002076A508C7F,71,4,2351574
