Tag,RSSI_dBm,Antenna,Time_ms
E2801170000002076A50957B,74,3,1914849
E2801170000002076A508C74,72,4,1914998
E2801170000002076A50957B,72,4,1914998
E2801170000002076A508D76,71,4,1915011
E2801170000002076A508D76,71,4,1915029
E2801170000002076A508D76,65,4,1915070
E2801170000002076A50957B,68,4,1915070
E2801170000002076A508D76,77,1,1915299
E2801170000002076A508D76,67,1,1915425
E2801170000002076A508D76,69,1,1915444
E2801170000002076A508D76,73,3,1915893
E2801170000002076A508D76,71,3,1915963
E2801170000002076A508D76,70,3,1915964
E2801170000002076A508D76,68,3,1915965
E2801170000002076A508D76,64,3,1915983
E2801170000002076A508D76,65,3,1916019
E2801170000002076A508D76,67,3,1916037
E2801170000002076A508D76,68,3,1916055
E2801170000002076A508D76,71,3,1916091
E2801170000002076A508D76,72,4,1916217
E2801170000002076A508C74,64,2,1916996
E2801170000002076A508D76,60,2,1917063
E2801170000002076A508D78,63,2,1917064
E2801170000002076A508D76,69,3,1917135
E2801170000002076A508C74,61,3,1917158
E2801170000002076A508D76,59,3,1917158
E2801170000002076A508C74,62,3,1917176
E2801170000002076A508D76,60,3,1917176
E2801170000002076A508D76,63,3,1917189
E2801170000002076A508C74,62,3,1917207
E2801170000002076A50957D,72,2,1918073
E2801170000002076A508D78,70,2,1918143
E2801170000002076A508D78,68,2,1918144
E2801170000002076A50957D,68,2,1918145
E2801170000002076A508C74,67,2,1918145
E2801170000002076A508C74,67,2,1918148
E2801170000002076A508D78,67,2,1918149
E2801170000002076A508D76,69,2,1918161
E2801170000002076A508C74,64,2,1918184
E2801170000002076A508D76,64,2,1918184
E2801170000002076A508D76,70,1,1919156
E2801170000002076A50957B,74,1,1919223
E2801170000002076A50957D,69,2,1919295
E2801170000002076A50957B,68,2,1919318
E2801170000002076A508D78,66,2,1919318
E2801170000002076A508D78,67,2,1919331
E2801170000002076A50957B,70,2,1919349
E2801170000002076A50957B,70,2,1919372
E2801170000002076A508D78,64,2,1919372
E2801170000002076A50957D,65,2,1919385
E2801170000002076A50957B,66,1,1920236
E2801170000002076A508D78,73,1,1920303
E2801170000002076A50957D,72,1,1920304
E2801170000002076A50957A,71,1,1920305
E2801170000002076A50957B,65,1,1920305
E2801170000002076A508C7D,70,1,1920306
E2801170000002076A50957D,70,1,1920307
E2801170000002076A50957A,68,1,1920308
E2801170000002076A50957B,64,1,1920308
E2801170000002076A508C7D,66,1,1920309
E2801170000002076A50957B,66,4,1921316
E2801170000002076A509570,69,4,1921383
E2801170000002076A50957B,67,1,1921437
E2801170000002076A509570,74,1,1921455
E2801170000002076A50957D,71,1,1921478
E2801170000002076A508C7E,70,1,1921478
E2801170000002076A508C7E,67,1,1921491
E2801170000002076A508C7D,65,1,1921509
E2801170000002076A508C7D,62,1,1921532
E2801170000002076A508C7E,64,1,1921532
E2801170000002076A509570,67,4,1922391
E2801170000002076A50957A,77,4,1922463
E2801170000002076A509570,72,4,1922464
E2801170000002076A50957C,62,4,1922465
E2801170000002076A509570,59,4,1922465
E2801170000002076A509570,61,4,1922481
E2801170000002076A509570,62,4,1922504
E2801170000002076A50957C,60,4,1922505
E2801170000002076A508C7E,64,4,1922540
E2801170000002076A509570,62,4,1922540
E2801170000002076A508C7E,63,3,1923476
E2801170000002076A50957C,63,3,1923543
E2801170000002076A50957B,77,4,1923602
E2801170000002076A509570,69,4,1923603
E2801170000002076A509570,71,4,1923615
E2801170000002076A50957C,70,4,1923633
E2801170000002076A508C7E,61,4,1923656
E2801170000002076A50957B,65,4,1923656
E2801170000002076A509570,67,4,1923669
E2801170000002076A50957C,67,4,1923687
E2801170000002076A508C7E,71,3,1924553
E2801170000002076A50957C,73,3,1924623
E2801170000002076A508C7E,70,3,1924624
E2801170000002076A50957C,71,3,1924625
E2801170000002076A508C7E,67,3,1924625
E2801170000002076A50957C,69,4,1924839
