Tag,RSSI_dBm,Antenna,Time_ms
E2801170000002076A509479,58,2,2680690
E2801170000002076A509477,58,2,2680707
E2801170000002076A509479,65,1,2681566
E2801170000002076A509479,66,1,2681636
E2801170000002076A509C7C,71,1,2681637
E2801170000002076A509479,66,1,2681638
E2801170000002076A509C7C,68,1,2681639
E2801170000002076A509479,64,1,2681643
E2801170000002076A509477,64,1,2681644
E2801170000002076A509C7C,65,1,2681656
E2801170000002076A509C7C,63,1,2681679
E2801170000002076A509477,60,1,2681680
E2801170000002076A509479,64,4,2682651
E2801170000002076A509C7C,70,4,2682718
E2801170000002076A509477,67,4,2682719
E2801170000002076A509479,65,1,2682773
E2801170000002076A509477,62,1,2682790
E2801170000002076A509479,64,1,2682813
E2801170000002076A509477,62,1,2682814
E2801170000002076A509C7C,60,1,2682831
E2801170000002076A509479,62,1,2682832
E2801170000002076A509477,60,1,2682845
E2801170000002076A509C7C,71,4,2683731
E2801170000002076A509477,69,4,2683798
E2801170000002076A509C7C,58,4,2683799
E2801170000002076A509479,63,4,2683800
E2801170000002076A509479,62,4,2683801
E2801170000002076A509477,58,4,2683801
E2801170000002076A509477,58,4,2683802
E2801170000002076A509C7C,59,4,2683821
E2801170000002076A509479,61,4,2683822
E2801170000002076A509C7C,61,4,2683839
E2801170000002076A509478,77,4,2684937
E2801170000002076A509C7C,72,4,2685006
E2801170000002076A509C7C,62,4,2685007
E2801170000002076A509C7C,60,4,2685008
E2801170000002076A509479,62,4,2685009
E2801170000002076A509C7C,62,4,2685022
E2801170000002076A509C7C,62,4,2685040
E2801170000002076A509C7C,61,4,2685076
E2801170000002076A509C7C,65,4,2685094
E2801170000002076A509C7C,67,4,2685117
E2801170000002076A509D74,64,3,2686012
E2801170000002076A509D74,62,3,2686086
E2801170000002076A509D74,71,4,2686156
E2801170000002076A509478,77,4,2686192
E2801170000002076A509D74,72,4,2686210
E2801170000002076A509D74,70,4,2686246
E2801170000002076A509478,67,4,2686269
E2801170000002076A509D74,67,4,2686270
E2801170000002076A509D74,65,4,2686284
E2801170000002076A509D74,64,4,2686318
E2801170000002076A509478,73,3,2687115
E2801170000002076A509D74,68,3,2687186
E2801170000002076A509478,68,3,2687187
E2801170000002076A509D74,68,3,2687188
E2801170000002076A509478,67,3,2687189
E2801170000002076A509D74,65,3,2687189
E2801170000002076A509478,64,3,2687190
E2801170000002076A509478,65,3,2687205
E2801170000002076A509D74,63,3,2687206
E2801170000002076A509478,64,3,2687218
E2801170000002076A509478,63,2,2688195
E2801170000002076A509476,64,2,2688266
E2801170000002076A509476,74,3,2688339
E2801170000002076A509478,72,3,2688340
E2801170000002076A509478,71,3,2688352
E2801170000002076A509476,73,3,2688375
E2801170000002076A509D75,77,3,2688376
E2801170000002076A509476,60,3,2688393
E2801170000002076A509478,63,3,2688394
E2801170000002076A509478,67,3,2688406
