Tag,RSSI_dBm,Antenna,Time_ms
E2801170000002076A508C74,65,2,1709943
E2801170000002076A508D76,63,2,1709966
E2801170000002076A508D78,67,2,1709966
E2801170000002076A508C74,62,2,1709984
E2801170000002076A508D78,66,2,1709984
E2801170000002076A508D76,62,2,1709997
E2801170000002076A508D78,64,2,1710020
E2801170000002076A508C74,63,2,1710020
E2801170000002076A508D76,63,2,1710038
E2801170000002076A508C74,62,2,1710038
E2801170000002076A508C74,69,1,1710951
E2801170000002076A508D76,64,1,1711018
E2801170000002076A508D78,70,1,1711019
E2801170000002076A508C74,71,2,1711100
E2801170000002076A508D78,74,2,1711100
E2801170000002076A508D76,64,2,1711136
E2801170000002076A508C74,70,2,1711136
E2801170000002076A508D76,62,2,1711154
E2801170000002076A508D78,71,2,1711154
E2801170000002076A508D78,69,2,1711172
E2801170000002076A508D78,77,1,1712036
E2801170000002076A508D76,67,1,1712108
E2801170000002076A508D76,66,1,1712109
E2801170000002076A508C74,69,1,1712110
E2801170000002076A508D76,61,1,1712110
E2801170000002076A508C74,62,1,1712111
E2801170000002076A508C74,62,1,1712112
E2801170000002076A508D76,62,1,1712113
E2801170000002076A508D76,62,1,1712126
E2801170000002076A508C74,65,1,1712126
E2801170000002076A508D76,61,4,1713111
E2801170000002076A508C74,60,4,1713178
E2801170000002076A508D76,63,4,1713179
E2801170000002076A508D78,61,4,1713180
E2801170000002076A508D78,77,1,1713255
E2801170000002076A508C74,70,1,1713273
E2801170000002076A508D76,63,1,1713296
E2801170000002076A508C74,70,1,1713296
E2801170000002076A508C74,63,1,1713314
E2801170000002076A508D76,62,1,1713314
E2801170000002076A508C74,67,4,1714191
E2801170000002076A508D76,65,4,1714258
E2801170000002076A508D76,65,4,1714259
E2801170000002076A508C74,67,4,1714260
E2801170000002076A508D78,66,4,1714260
E2801170000002076A508D76,66,4,1714261
E2801170000002076A508C74,63,4,1714263
E2801170000002076A508D78,62,4,1714286
E2801170000002076A508D76,65,4,1714286
E2801170000002076A508D76,64,4,1714304
E2801170000002076A508D76,63,3,1715271
E2801170000002076A508C74,71,4,1715399
E2801170000002076A508D76,63,4,1715415
E2801170000002076A508D76,67,4,1715433
E2801170000002076A508C74,69,4,1715456
E2801170000002076A508D78,67,4,1715456
E2801170000002076A508D76,66,4,1715469
E2801170000002076A508C74,64,4,1715492
E2801170000002076A508D76,66,4,1715492
E2801170000002076A508D78,67,4,1715496
E2801170000002076A508D76,60,3,1716410
E2801170000002076A508D78,63,3,1716478
E2801170000002076A508D76,60,3,1716479
E2801170000002076A508D78,65,3,1716480
E2801170000002076A508C74,70,3,1716480
E2801170000002076A508D76,62,3,1716481
E2801170000002076A508D78,69,3,1716482
E2801170000002076A50957D,73,3,1716500
E2801170000002076A508D76,62,3,1716500
E2801170000002076A508D76,65,4,1716621
E2801170000002076A508D76,65,3,1717544
E2801170000002076A508D78,77,3,1717611
E2801170000002076A508D76,57,3,1717612
E2801170000002076A508D78,59,3,1717612
E2801170000002076A508D76,58,3,1717613
E2801170000002076A508D76,60,3,1717614
E2801170000002076A508D76,58,3,1717629
E2801170000002076A508D76,61,3,1717665
E2801170000002076A508D76,62,3,1717683
E2801170000002076A508D76,62,3,1717706
E2801170000002076A508D78,62,2,1718619
E2801170000002076A508D76,63,3,1718750
E2801170000002076A508C74,67,3,1718750
E2801170000002076A508D78,72,3,1718768
E2801170000002076A508D76,63,3,1718768
E2801170000002076A508C74,65,3,1718804
E2801170000002076A508D78,70,3,1718804
E2801170000002076A508D76,63,3,1718817
E2801170000002076A508D76,62,3,1718840
E2801170000002076A508C74,64,3,1718840
E2801170000002076A508D76,71,2,1719753
E2801170000002076A508D76,67,2,1719820
E2801170000002076A508C74,64,2,1719821
E2801170000002076A508D76,66,2,1719822
E2801170000002076A508C74,65,2,1719822
E2801170000002076A508D76,66,2,1719823
E2801170000002076A508C74,65,2,1719830
E2801170000002076A508D78,63,2,1719830
E2801170000002076A508D76,71,2,1719848
E2801170000002076A50957B,77,2,1719848
E2801170000002076A50957B,69,2,1720910
E2801170000002076A508D78,64,2,1720978
E2801170000002076A50957D,62,2,1720979
E2801170000002076A50957B,71,2,1720980
E2801170000002076A508D78,62,2,1720980
E2801170000002076A508D78,62,2,1720981
E2801170000002076A50957D,62,2,1720982
E2801170000002076A50957D,62,2,1720983
E2801170000002076A508D78,62,2,1720983
E2801170000002076A508C74,65,2,1721000
E2801170000002076A50957B,63,1,1721985
E2801170000002076A50957D,70,1,1722058
E2801170000002076A508D78,71,1,1722059
E2801170000002076A50957A,74,2,1722152
E2801170000002076A50957B,65,2,1722152
E2801170000002076A50957B,65,2,1722165
E2801170000002076A508C7D,68,2,1722183
E2801170000002076A508D78,68,2,1722202
E2801170000002076A50957B,64,2,1722219
E2801170000002076A50957D,63,2,1722242
E2801170000002076A50957B,65,1,1723070
E2801170000002076A508C7E,72,1,1723138
E2801170000002076A509570,70,1,1723139
E2801170000002076A50957D,67,1,1723140
E2801170000002076A509570,68,1,1723140
E2801170000002076A50957A,67,1,1723141
E2801170000002076A508C7D,63,1,1723142
E2801170000002076A50957B,62,1,1723155
E2801170000002076A508C7D,62,1,1723173
E2801170000002076A509570,63,1,1723191
E2801170000002076A50957C,65,4,1724145
E2801170000002076A50957C,69,1,1724271
E2801170000002076A50957A,68,1,1724289
E2801170000002076A509570,63,1,1724307
E2801170000002076A508C7E,64,1,1724330
E2801170000002076A509570,61,1,1724330
E2801170000002076A508C7E,62,1,1724343
E2801170000002076A509570,63,1,1724361
E2801170000002076A509570,63,1,1724379
E2801170000002076A508C7E,62,1,1724397
E2801170000002076A508C7E,61,4,1725281
E2801170000002076A50957C,64,4,1725348
E2801170000002076A50957C,63,4,1725349
E2801170000002076A508C7E,63,4,1725350
E2801170000002076A50957C,68,4,1725350
E2801170000002076A508C7E,63,4,1725351
E2801170000002076A508C7E,64,4,1725352
E2801170000002076A508C7E,67,1,1725500
E2801170000002076A509570,74,1,1725500
E2801170000002076A50957B,77,1,1725518
E2801170000002076A508C7E,73,4,1726397
E2801170000002076A508C7E,65,4,1726468
E2801170000002076A508C7E,66,4,1726469
E2801170000002076A508C7E,70,4,1726485
E2801170000002076A50957C,73,4,1726504
E2801170000002076A50957C,77,4,1726544
E2801170000002076A508C7E,77,4,1726544
E2801170000002076A50957C,77,4,1726557
E2801170000002076A50957C,77,4,1726575
E2801170000002076A50957C,77,1,1726719
