Tag,Time_ms
E2801170000002076A50957C,7786867
E2801170000002076A50957C,7786943
E2801170000002076A50957C,7787019
E2801170000002076A50957C,7787095
E2801170000002076A50957C,7787230
E2801170000002076A50957C,7787347
E2801170000002076A50957C,7787423
E2801170000002076A50957C,7787555
E2801170000002076A50957C,7787631
E2801170000002076A50957C,7787707
1A92A5FE0319A60420984E92,7793637
1A92A5FE0319A60420984E92,7793641
1A92A5FE0319A60420984E92,7793717
1A92A5FE0319A60420984E92,7793793
1A92A5FE0319A60420984E92,7793870
1A92A5FE0319A60420984E92,7793946
1A92A5FE0319A60420984E92,7794022
1A92A5FE0319A60420984E92,7794098
1A92A5FE0319A60420984E92,7794174
1A8F9CFE3D69A671021A78C4,7794250
E2801170000002076A509C7C,7800487
E2801170000002076A509478,7800578
E2801170000002076A509476,7800654
E2801170000002076A508D77,7800730
E2801170000002076A509478,7800806
E2801170000002076A509478,7800949
E2801170000002076A509478,7801025
E2801170000002076A509476,7801101
E2801170000002076A509C7C,7801177
E2801170000002076A508D77,7801253
1A8F9CFE3D69A671021A78C4,7807487
1A8F9CFE3D69A671021A78C4,7807647
1A8F9CFE3D69A671021A78C4,7807723
1A8F9CFE3D69A671021A78C4,7807799
1A8F9CFE3D69A671021A78C4,7807875
1A8F9CFE3D69A671021A78C4,7807952
1A8F9CFE3D69A671021A78C4,7808028
1A8F9CFE3D69A671021A78C4,7808104
1A8F9CFE3D69A671021A78C4,7808180
1A8F9CFE3D69A671021A78C4,7808256
1A8F9CFE3D69A671021A78C4,7814057
1A8F9CFE3D69A671021A78C4,7814061
1A8F9CFE3D69A671021A78C4,7814138
1A8F9CFE3D69A671021A78C4,7814214
1A8F9CFE3D69A671021A78C4,7814290
1A8F9CFE3D69A671021A78C4,7814366
E2801170000002076A508D77,7814442
1A8F9CFE3D69A671021A78C4,7814518
1A8F9CFE3D69A671021A78C4,7814594
1A8F9CFE3D69A671021A78C4,7814670
E20042048B40601500A67118,7821377
E2801170000002076A508D78,7821381
E2801170000002076A50957B,7821457
E2801170000002076A509476,7836627
E2801170000002076A509476,7836634
