Tag,Time_ms
E2801170000002076A50957A,7113424
E2801170000002076A50957A,7113495
E2801170000002076A50957A,7113571
E2801170000002076A50957A,7113647
E2801170000002076A50957A,7113782
E2801170000002076A50957A,7113899
E2801170000002076A50957A,7113975
E2801170000002076A50957A,7114107
E2801170000002076A50957A,7114183
E2801170000002076A50957A,7114259
E2801170000002076A50957A,7120414
E2801170000002076A50957A,7120419
E2801170000002076A509570,7120495
E2801170000002076A509570,7120571
E2801170000002076A509570,7120647
E2801170000002076A509570,7120723
E2801170000002076A509570,7120799
E2801170000002076A509570,7120875
E2801170000002076A509570,7120951
E2801170000002076A509570,7121027
E2801170000002076A50957A,7127294
E2801170000002076A50957A,7127299
E2801170000002076A509476,7127375
E2801170000002076A508D78,7127451
E2003A6CBB38CC89E229391A,7127621
E2801170000002076A509476,7128215
E2801170000002076A509476,7128239
1A8F9CFE3D69A671021A78C4,7134524
1A8F9CFE3D69A671021A78C4,7134529
1A8F9CFE3D69A671021A78C4,7134605
1A92A5FE0319A60420984E92,7134681
1A8F9CFE3D69A671021A78C4,7134757
1A8F9CFE3D69A671021A78C4,7134833
E2801170000002076A509476,7134909
1A8F9CFE3D69A671021A78C4,7134985
E2801170000002076A509476,7135061
1A8F9CFE3D69A671021A78C4,7135137
E2003A6CBB38CC89E229391A,7141244
E2003A6CBB38CC89E229391A,7141249
E2003A6CBB38CC89E229391A,7141325
E2801170000002076A509477,7141401
E2003A6CBB38CC89E229391A,7141477
E2003A6CBB38CC89E229391A,7141553
E2003A6CBB38CC89E229391A,7141629
1A8F9CFE3D69A671021A78C4,7141705
E2003A6CBB38CC89E229391A,7141781
1A8F9CFE3D69A671021A78C4,7141857
E2801170000002076A509478,7148114
E2801170000002076A509478,7148119
E2801170000002076A509478,7148195
E2801170000002076A508D77,7148271
E2801170000002076A509478,7148347
1A8F9CFE3D69A671021A78C4,7148423
E2801170000002076A508D77,7148499
E2801170000002076A509478,7148575
E2801170000002076A509476,7148651
1A8F9CFE3D69A671021A78C4,7148727
E2801170000002076A509C7C,7154714
E2801170000002076A509C7C,7154719
E2801170000002076A509C7C,7154795
E2801170000002076A509C7C,7154871
E2801170000002076A509C7C,7154947
E2801170000002076A509C7C,7155023
E2801170000002076A508D78,7155099
E2801170000002076A508D78,7155175
E2801170000002076A508D78,7155251
E2801191A5030064110EECDB,7155327
E2801170000002076A508D78,7161294
E2801170000002076A508D78,7161299
E2801170000002076A508D78,7161375
E2801170000002076A508D78,7161451
E2801170000002076A508D78,7161527
E2801170000002076A508D78,7161603
E2801170000002076A508D78,7161679
E2801170000002076A508D78,7161755
E2801170000002076A508D78,7161831
E2801170000002076A508D78,7161907
