Tag,Time_ms
E2801170000002076A509570,5468708
E2801170000002076A509570,5468783
E2801170000002076A509570,5468859
E2801170000002076A509570,5468935
E2801170000002076A509570,5469071
E2801170000002076A509570,5469187
E2801170000002076A509570,5469263
E2801170000002076A509570,5469396
E2801170000002076A509570,5469508
E2801170000002076A509570,5469652
E2801170000002076A509570,5475499
E2801170000002076A509570,5475503
E2801170000002076A509570,5475579
E2801170000002076A509570,5475655
E2801170000002076A509570,5475782
E2801170000002076A509570,5475858
E2801170000002076A509570,5475934
E2801170000002076A509570,5476010
E2801170000002076A509570,5476086
E2801170000002076A50957A,5483068
E2801170000002076A50957A,5515048
E2801170000002076A50957A,5515053
E2801170000002076A50957A,5515129
E2801170000002076A50957A,5515205
E2801170000002076A50957A,5515281
E2801170000002076A509476,5522378
1A8F9CFE3D69A671021A78C4,5522383
E200470594A1642A03DE3F5A,5522459
E2801170000002076A509476,5522535
E200470594A1642A03DE3F5A,5522611
1A8F9CFE3D69A671021A78C4,5522687
E2801170000002076A508D77,5522763
E2801170000002076A508D77,5522839
E2801170000002076A508D77,5522915
1A8F9CFE3D69A671021A78C4,5522991
1A8F9CFE3D69A671021A78C4,5529499
1A8F9CFE3D69A671021A78C4,5529538
E2801170000002076A508D77,5529614
E2801170000002076A508D77,5529690
E2801170000002076A508D77,5529766
1A8F9CFE3D69A671021A78C4,5529842
E2801170000002076A508D77,5529918
1A8F9CFE3D69A671021A78C4,5529994
1A8F9CFE3D69A671021A78C4,5530070
E2801170000002076A508D77,5530146
E2801170000002076A508D77,5536969
E2801170000002076A508D77,5536973
E2801170000002076A508D77,5537049
E2801170000002076A508D77,5537125
E200470594A1642A03DE3F5A,5537201
E2801170000002076A508D77,5537277
1A8F9CFE3D69A671021A78C4,5537353
E2801170000002076A508D77,5537429
E2801170000002076A508D77,5537505
1A8F9CFE3D69A671021A78C4,5537581
E2801170000002076A509C7C,5543949
1A8F9CFE3D69A671021A78C4,5543953
1A8F9CFE3D69A671021A78C4,5544029
E2801170000002076A509C7C,5544105
1A8F9CFE3D69A671021A78C4,5544240
1A8F9CFE3D69A671021A78C4,5544357
E2801170000002076A509C7C,5544433
E2801170000002076A509C7C,5544565
E2801170000002076A508D77,5544678
E2801170000002076A508D77,5544822
E2801170000002076A508D77,5550649
E2801170000002076A508D77,5550653
1A8F9CFE3D69A671021A78C4,5550729
E2801170000002076A508D77,5550805
1A8F9CFE3D69A671021A78C4,5550881
1A8F9CFE3D69A671021A78C4,5550957
1A8F9CFE3D69A671021A78C4,5551033
1A8F9CFE3D69A671021A78C4,5551109
E2801170000002076A508D77,5551185
E2801170000002076A508D77,5551261
E20042048B40601500A67118,5558238
E20042048B40601500A67118,5558245
E20042048B40601500A67118,5558322
E2801170000002076A50957B,5558399
E2801191A5030064110EF1BB,5640488
E2801191A5030064110EF1BB,5640495
E2801170000002076A50957B,5647768
E2801170000002076A50957B,5662928
