Tag,Time_ms
E2801170000002076A509476,8046117
E2801170000002076A509476,8046191
E2801170000002076A509476,8046268
E2801170000002076A509476,8046345
E2801170000002076A509476,8046483
1A92A5FE0319A60420984E92,8046602
1A92A5FE0319A60420984E92,8046679
1A92A5FE0319A60420984E92,8046813
1A92A5FE0319A60420984E92,8046928
1A92A5FE0319A60420984E92,8047005
1A92A5FE0319A60420984E92,8052837
1A92A5FE0319A60420984E92,8052843
1A92A5FE0319A60420984E92,8052920
1A92A5FE0319A60420984E92,8052998
1A92A5FE0319A60420984E92,8053075
1A92A5FE0319A60420984E92,8053152
1A92A5FE0319A60420984E92,8053229
1A92A5FE0319A60420984E92,8053306
1A92A5FE0319A60420984E92,8053383
1A92A5FE0319A60420984E92,8053460
E2801170000002076A509478,8059887
E2801170000002076A508D77,8059893
E2801170000002076A509478,8059970
E2801170000002076A508D77,8060048
E2801170000002076A509C7C,8060125
E2801170000002076A508D77,8060202
1A8F9CFE3D69A671021A78C4,8060279
E2801170000002076A508D77,8060356
E2801170000002076A509478,8060433
E2801170000002076A509478,8060510
1A8F9CFE3D69A671021A78C4,8067307
1A8F9CFE3D69A671021A78C4,8067313
1A8F9CFE3D69A671021A78C4,8067391
1A8F9CFE3D69A671021A78C4,8067468
1A8F9CFE3D69A671021A78C4,8067545
1A8F9CFE3D69A671021A78C4,8067622
1A8F9CFE3D69A671021A78C4,8067699
1A8F9CFE3D69A671021A78C4,8067776
1A8F9CFE3D69A671021A78C4,8067853
E2801191A5030064110EF1BB,8067930
E2801170000002076A509476,8084757
1A92A5FE0319A60420984E92,8084763
E2801170000002076A509476,8084841
E2801170000002076A508D77,8084918
1A8F9CFE3D69A671021A78C4,8085475
E200470594A1642A03DE3F5A,8085660
1A8F9CFE3D69A671021A78C4,8085661
1A8F9CFE3D69A671021A78C4,8091347
E200470594A1642A03DE3F5A,8091353
1A8F9CFE3D69A671021A78C4,8091431
1A8F9CFE3D69A671021A78C4,8091508
1A8F9CFE3D69A671021A78C4,8091585
1A8F9CFE3D69A671021A78C4,8091662
1A8F9CFE3D69A671021A78C4,8091739
1A8F9CFE3D69A671021A78C4,8091816
1A8F9CFE3D69A671021A78C4,8091893
E200470594A1642A03DE3F5A,8091970
