Tag,Time_ms
E200470594A1642A03DE3F5A,8242487
E200470594A1642A03DE3F5A,8242557
1A8F9CFE3D69A671021A78C4,8242635
1A8F9CFE3D69A671021A78C4,8242772
1A8F9CFE3D69A671021A78C4,8242891
1A8F9CFE3D69A671021A78C4,8242968
E200470594A1642A03DE3F5A,8243102
1A8F9CFE3D69A671021A78C4,8243179
E200470594A1642A03DE3F5A,8243256
1A8F9CFE3D69A671021A78C4,8243333
E2801170000002076A509476,8250077
E2801170000002076A509476,8250084
E2801170000002076A509476,8250161
E2801170000002076A509476,8250238
E2801170000002076A509476,8250315
E2801170000002076A509476,8250392
E2801170000002076A509476,8250469
E2801170000002076A509476,8250546
1A92A5FE0319A60420984E92,8250623
1A92A5FE0319A60420984E92,8250700
E2801170000002076A508C7E,8257737
E2801170000002076A508C7E,8257744
1A8F9CFE3D69A671021A78C4,8257821
E2801170000002076A508C7E,8257898
E2801170000002076A508C7E,8257975
E2801170000002076A508C7E,8258052
E2801170000002076A508C7E,8258129
1A8F9CFE3D69A671021A78C4,8258206
E2801170000002076A508C7E,8258283
E2801170000002076A508C7E,8258360
E2801170000002076A508C7E,8265487
E2801170000002076A508C7E,8265493
E2801170000002076A50957C,8272667
E2801170000002076A50957C,8272710
E2801170000002076A50957C,8272787
E2801170000002076A50957C,8272864
E2801170000002076A50957C,8272941
E2801170000002076A50957C,8273019
E2801170000002076A50957C,8273096
E2801170000002076A50957C,8273173
1A8F9CFE3D69A671021A78C4,8273310
1A8F9CFE3D69A671021A78C4,8273429
E2801170000002076A509476,8279937
E2801170000002076A508D77,8279944
1A8F9CFE3D69A671021A78C4,8280021
1A8F9CFE3D69A671021A78C4,8280098
1A8F9CFE3D69A671021A78C4,8280175
E2801170000002076A509C7C,8280304
E2801170000002076A509C7C,8280381
E2801170000002076A509C7C,8280458
E2801170000002076A509C7C,8280535
E2801191A5030064110EECDB,8286767
E2801170000002076A508D78,8286774
E2801170000002076A508D78,8286851
E2801170000002076A508D78,8286928
E2801170000002076A508D78,8287005
E2801170000002076A508D78,8287082
E2801170000002076A508D78,8287159
E2801170000002076A508D78,8287236
E2801170000002076A508D78,8287313
E2801170000002076A508D78,8287390
